Código (SKU);Descrição;Preço;URL imagem externa 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000069-1;Placa Mãe Asus Rog Strix B660-a Gaming Wifi Ddr5 Lga1700 Cor Preto;1530;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000070;Placa Mãe Gigabyte B660m Ds3h, Intel Lga 1700 Ddr4, M.2 Nvme;1189;https://http2.mlstatic.com/D_746507-MLU70493969020_072023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000070-1;Placa-mãe Biostar B660gtq Ddr4 Dp Pcie 4.0 M.2/vc;1009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000070-2;PLACA MAE AMD ASUS TUF GAMING B650MPLUS DDR5 AM5;1586;https://http2.mlstatic.com/D_725192-MLU73460110660_122023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000071;ASRock H610M-HDV Intel H610 LGA 1700 Micro ATX DDR4 Placa-mãe;759;https://http2.mlstatic.com/D_984228-MLU70818101938_082023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000071-1;Placa Mãe Asrock H610m-hvs H610 Intel Lga 1700 12° E 13ª Ger - Preto;675;https://http2.mlstatic.com/D_865356-MLU69345291256_052023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000072;Placa-Mãe ASUS TUF Gaming - Z690-Plus D4, Intel 1700 Z690, ATX, DDR4, RGB;2049;https://http2.mlstatic.com/D_899957-MLU69804924240_062023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000073;H610MHP;604,5;https://http2.mlstatic.com/D_765892-MLU70799765860_082023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000074;MSI Placa-mãe PRO Z690-A WiFi DDR4 ProSeries (ATX, Intel Core de 12ª geração, soquete LGA 1700, DDR4, PCIe 4, CFX, M.2 S;2310;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000077;ASROCK Z590 Steel Legend WiFi 6E Socket LGA1200/ Intel Z590/ DDR4/ Quad CrossFireX/ SATA3 e USB3.2/ M.2/ WiFi e Bluetoot;2470;https://http2.mlstatic.com/D_941964-MLB53605214552_022023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000078;Placa Mãe Asus Para Intel 1700 H610m-e D4 Prime 2xddr4 Matx;779;https://http2.mlstatic.com/D_665527-MLB49602495037_042022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000078-1;Placa Mae Prime H610m-f D4;679;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000079;Placa Mãe Asus Tuf Gaming B550m-e Wifi;1053,08;https://http2.mlstatic.com/D_712006-MLU74123310103_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000079-1;Placa Mãe Asrock H610m-hvs H610 Intel Lga 1700 12° Geração;675;https://http2.mlstatic.com/D_865356-MLU69345291256_052023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000079-2;Placa Mãe Asus Prime H610m-k D4 Matx Ddr4 Intel 1700 H610;698;https://http2.mlstatic.com/D_683702-MLB72742164742_112023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000079-3;Placa Mae Msi Pro H610m-g, Ddr4, Socket Lga 1700, M-atx;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000080;PLACA MAE INTEL GIGABYTE H610M H DDR4 LGA1700 12 GERACAO;721,5;https://http2.mlstatic.com/D_654918-MLB52448243005_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000081;Placa Mae Biostar H610mh Lga1700 Ddr4 Matx Cor Preto;655;https://http2.mlstatic.com/D_934614-MLU74158927865_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000082-1;Placa Mãe Asus Rog Strix Z690-a Gaming Wifi Ddr5 1700 12 13ª Cor Branca;3200;https://http2.mlstatic.com/D_850649-MLU70530127545_072023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000083;Asus TUF Gaming Z690-PLUS Tomada WiFi LGA1700/ Intel Z690/ DDR5/ Wi-Fi e Bluetooth/ SATA3 e USB3.2/M.2/ATX Placa-mãe;2229,5;https://http2.mlstatic.com/D_743576-MLB52184178947_102022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
